Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0259714	359	111	120	164	52	57	206	195	193	96	82	79	141.79	198	86	0.437	-1.193	1.88028365808782e-07	8.96632939746297e-06	0.028	0.044
FBgn0031548	127	44	50	43	10	21	73	77	80	25	16	29	50.08	77	23	0.312	-1.68	2.05709284707843e-07	9.69671007571111e-06	0.0456	0.0613
FBgn0052681	413	136	159	203	69	79	237	239	256	119	109	110	178.09	244	113	0.465	-1.106	2.23387195005897e-07	1.04698387053621e-05	0.025	0.0386
FBgn0261808	1070	312	371	569	183	241	613	548	596	333	290	335	452.33	586	319	0.545	-0.875	2.3260639504996e-07	1.0839986660226e-05	0.0176	0.0213
FBgn0003525	3880	1008	1064	2004	691	817	2222	1770	1710	1172	1094	1134	1517.05	1901	1133	0.595	-0.749	2.5193534958648e-07	1.16744278943972e-05	0.0142	0.0174
FBgn0032638	327	104	114	155	46	41	187	183	183	91	73	57	128.92	184	74	0.406	-1.302	2.82460023560804e-07	1.29426654371269e-05	0.0352	0.0463
FBgn0262870	97	34	45	35	13	11	56	60	72	20	21	15	40.65	63	19	0.308	-1.697	2.97715728758188e-07	1.35659133737481e-05	0.0429	0.0623
FBgn0003366	53	16	22	9	5	7	30	28	35	5	8	10	19.45	31	8	0.23	-2.12	4.06366691131229e-07	1.81142369600997e-05	0.0466	0.0617
FBgn0032029	917	254	309	399	167	213	525	446	497	233	264	296	376.88	489	264	0.536	-0.9	4.41017231740705e-07	1.94474372835337e-05	0.0192	0.0237
FBgn0038381	427	152	191	223	80	95	245	267	307	130	127	132	201.23	273	130	0.478	-1.066	4.51921616198423e-07	1.98217170912271e-05	0.0251	0.0358
FBgn0028990	3136	1062	1334	1581	753	920	1796	1865	2145	924	1192	1277	1533.13	1935	1131	0.583	-0.778	5.23849916086394e-07	2.26137737460032e-05	0.0163	0.0174
FBgn0038865	594	212	268	315	121	155	340	372	431	184	192	215	289.03	381	197	0.517	-0.951	6.44252054058282e-07	2.72379141617836e-05	0.0214	0.0281
FBgn0027580	2647	1211	1174	1433	698	831	1516	2127	1887	838	1105	1153	1437.67	1843	1032	0.559	-0.838	7.27810995171481e-07	3.01490191030126e-05	0.0194	0.0172
FBgn0040752	12944	5164	4092	6729	2740	2872	7414	9068	6578	3934	4337	3986	5886.28	7687	4086	0.532	-0.912	8.1759746420973e-07	3.36981628213478e-05	0.024	0.0272
FBgn0034476	429	159	151	223	75	84	246	279	243	130	119	117	188.89	256	122	0.48	-1.059	8.42193323840129e-07	3.45383482106837e-05	0.0259	0.0372
FBgn0028514	1690	449	442	877	275	269	968	788	711	513	435	373	631.4	822	440	0.536	-0.899	8.96364820020399e-07	3.65770360885936e-05	0.0218	0.0183
FBgn0260429	343	84	64	112	30	28	196	148	103	65	47	39	99.78	149	50	0.344	-1.541	1.2415535697279e-06	4.84915351376582e-05	0.0573	0.0516
FBgn0027348	501	192	220	271	100	134	287	337	354	158	158	186	246.75	326	167	0.516	-0.955	1.55505511538491e-06	5.98805730346808e-05	0.0228	0.0313
FBgn0039098	744	212	276	394	137	170	426	372	444	230	217	236	320.88	414	228	0.55	-0.863	1.79640281643262e-06	6.75875958733044e-05	0.0193	0.0262
FBgn0037912	2109	773	904	1434	517	608	1208	1357	1453	838	818	844	1086.54	1339	833	0.624	-0.681	2.24662770760515e-06	8.30037858458442e-05	0.0137	0.0166
FBgn0029768	824	74	220	161	61	20	472	130	354	94	97	28	195.67	319	73	0.229	-2.126	2.30121865026476e-06	8.46394411187066e-05	0.1272	0.0358
FBgn0045852	5575	1761	1751	3030	1275	1296	3193	3092	2815	1772	2018	1799	2448.15	3033	1863	0.613	-0.705	2.87446087310802e-06	0.000104320035757664	0.0157	0.0204
FBgn0035147	39912	16882	20966	17919	9336	10829	22861	29645	33705	10477	14776	15031	21082.41	28737	13428	0.467	-1.098	3.0037351759651e-06	0.000108531435741259	0.0388	0.0334
FBgn0020257	2647	902	871	1737	575	647	1516	1584	1400	1016	910	898	1220.66	1500	941	0.628	-0.67	3.35131597049173e-06	0.000120032723100319	0.0138	0.0167
FBgn0026721	8764	3239	4056	4820	2218	2448	5020	5688	6520	2818	3510	3398	4492.41	5743	3242	0.564	-0.825	3.60605543663184e-06	0.000128038383944824	0.0223	0.0253
FBgn0039714	5090	1864	2171	3380	1267	1427	2915	3273	3490	1976	2005	1981	2606.83	3226	1987	0.616	-0.698	4.16968505953262e-06	0.000147412745078821	0.0159	0.0209
FBgn0051431	5275	1756	1976	3452	1151	1422	3021	3084	3177	2018	1822	1974	2515.89	3094	1938	0.627	-0.674	4.26896510076443e-06	0.00015027490024236	0.0148	0.0206
FBgn0031374	4401	1773	1584	2758	1106	1157	2521	3113	2546	1613	1750	1606	2191.6	2727	1656	0.608	-0.719	4.36724282844837e-06	0.000153077460166383	0.0169	0.0196
FBgn0024250	1054	346	294	590	191	214	604	608	473	345	302	297	438.04	562	315	0.562	-0.831	4.44995529897404e-06	0.00015465480238214	0.0205	0.0217
FBgn0044047	1568	387	412	846	239	276	898	680	662	495	378	383	582.67	747	419	0.561	-0.833	5.16076904051859e-06	0.000177851376766107	0.0217	0.0189
FBgn0031913	1995	712	947	1335	513	586	1143	1250	1522	781	812	813	1053.54	1305	802	0.615	-0.701	5.8452575271521e-06	0.000199761675990423	0.0158	0.0166
FBgn0263042	131	39	52	57	13	19	75	68	84	33	21	26	51.23	76	27	0.367	-1.446	6.35763737816725e-06	0.000214589883850732	0.0472	0.0611
FBgn0030326	295	104	163	157	66	55	169	183	262	92	104	76	147.7	205	91	0.447	-1.162	6.54795978778769e-06	0.000220108058112437	0.0378	0.0434
FBgn0010223	188	52	56	67	26	29	108	91	90	39	41	40	68.27	96	40	0.413	-1.277	7.50677157709124e-06	0.000251308328470622	0.0386	0.0583
FBgn0025836	223	62	74	90	35	36	128	109	119	53	55	50	85.59	119	53	0.442	-1.178	8.54182320038042e-06	0.000283643861900891	0.0348	0.055
FBgn0052311	3555	1294	1090	2142	898	856	2036	2272	1752	1252	1421	1188	1653.76	2020	1287	0.637	-0.651	8.70244299192671e-06	0.000287812247660415	0.0146	0.0178
FBgn0033359	1013	338	302	440	214	248	580	594	485	257	339	344	433.24	553	313	0.562	-0.831	1.0093239544269e-05	0.000331139002968376	0.0222	0.0218
FBgn0036732	6052	2086	2079	3795	1403	1646	3466	3663	3342	2219	2221	2285	2865.96	3490	2242	0.642	-0.639	1.14208736169742e-05	0.000371722243676279	0.0147	0.0217
FBgn0259749	3043	1100	1275	1688	813	966	1743	1932	2050	987	1287	1341	1556.46	1908	1205	0.63	-0.666	1.26420204346491e-05	0.000407033183937368	0.0158	0.0175
FBgn0010591	3426	1221	1424	2118	929	1061	1962	2144	2289	1238	1470	1473	1762.84	2132	1394	0.653	-0.614	1.37585163598317e-05	0.00044080996555992	0.0135	0.0181
FBgn0030452	1975	636	783	1268	498	525	1131	1117	1259	741	788	729	960.85	1169	753	0.644	-0.635	1.44747327743258e-05	0.000460161853546589	0.014	0.0167
FBgn0032400	1549	308	348	729	173	229	887	541	559	426	274	318	500.9	662	339	0.513	-0.963	1.51676628599107e-05	0.000480328844698792	0.0328	0.0202
FBgn0002609	109	37	34	45	15	12	62	65	55	26	24	17	41.46	61	22	0.376	-1.411	1.55081133394717e-05	0.000489221329270566	0.0447	0.0621
FBgn0261545	4014	1429	1314	2900	883	1005	2299	2509	2112	1696	1398	1395	1901.49	2307	1496	0.65	-0.622	1.60335121545684e-05	0.00050193460569378	0.0142	0.0186
FBgn0062978	71	22	20	26	6	7	41	39	32	15	9	10	24.31	37	11	0.328	-1.61	1.7866611233924e-05	0.000550909568949793	0.0484	0.0624
FBgn0052412	2620	834	1017	1739	647	715	1501	1465	1635	1017	1024	992	1272.22	1534	1011	0.66	-0.6	1.8429729078029e-05	0.00056614471122844	0.0131	0.0168
FBgn0010382	2680	1016	929	1740	703	734	1535	1784	1493	1017	1113	1019	1326.9	1604	1050	0.654	-0.612	1.92873006077511e-05	0.000588083418530761	0.0137	0.0169
FBgn0011274	2192	550	601	1230	411	424	1256	966	966	719	650	589	857.61	1063	653	0.614	-0.704	1.92300648753904e-05	0.000588083418530761	0.018	0.0169
FBgn0039886	2156	655	789	1450	451	576	1235	1150	1268	848	714	799	1002.43	1218	787	0.647	-0.627	2.01207178350104e-05	0.000611222695121315	0.0143	0.0166
FBgn0039101	641	211	234	377	125	169	367	371	376	220	198	235	294.45	371	218	0.588	-0.767	2.02460647305554e-05	0.000612760970184558	0.0189	0.0277
