Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0076453	609	183	208	1523	430	594	357	309	328	895	667	824	563.29	331	795	2.399	1.262	0.00017387569064718	0.00963906537686812	0.0767	0.1008
FBtr0332708	6	15	6	179	48	24	4	25	9	105	74	33	41.87	13	71	5.948	2.572	0.000175163480107862	0.00965069930711195	0.2562	0.1766
FBtr0333013	212	74	88	895	224	187	124	125	139	526	347	259	253.46	129	377	2.927	1.55	0.000174892955181152	0.00965069930711195	0.112	0.133
FBtr0113246	69	19	34	618	44	109	40	32	54	363	68	151	118.14	42	194	4.638	2.214	0.000194846654422999	0.0105979379974406	0.22	0.164
FBtr0339629	103	43	72	402	150	200	60	73	114	236	233	277	165.47	82	249	3.047	1.607	0.000194716351786998	0.0105979379974406	0.1188	0.152
FBtr0100508	13	9	5	56	28	28	8	15	8	33	43	39	24.31	10	38	3.861	1.949	0.000196600328218657	0.0106354244020643	0.1235	0.1657
FBtr0084868	88	14	41	189	133	157	52	24	65	111	206	218	112.49	47	178	3.781	1.919	0.000198171919343016	0.0106881517703495	0.166	0.1662
FBtr0112735	30	12	12	100	44	50	18	20	19	59	68	69	42.19	19	65	3.458	1.79	0.000198769478070391	0.0106881870099952	0.1234	0.1766
FBtr0301824	33	22	16	171	41	95	19	37	25	101	64	132	62.93	27	99	3.694	1.885	0.000209139524692041	0.0111453938367133	0.1501	0.1776
FBtr0110921	55	31	23	251	116	67	32	52	36	148	180	93	90.19	40	140	3.51	1.811	0.000212849715129913	0.0113094569706713	0.1455	0.1721
FBtr0082760	1318	442	537	2644	1035	1378	772	746	847	1554	1605	1911	1239.3	788	1690	2.143	1.1	0.000234529768998947	0.0123514413049857	0.0618	0.0866
FBtr0114614	187	44	112	1053	187	206	110	74	177	619	290	286	259.2	120	398	3.323	1.732	0.000240344108187439	0.0126205325548513	0.1461	0.1319
FBtr0342808	118	93	80	694	241	196	69	157	126	408	374	272	234.3	117	351	3.019	1.594	0.000249279139414572	0.0129755589254573	0.1236	0.1367
FBtr0306254	1557	262	376	2712	961	1089	912	442	593	1594	1490	1510	1090.4	649	1531	2.352	1.234	0.000254012664421863	0.013183625417791	0.0785	0.0878
FBtr0345339	60	15	12	184	61	53	35	25	19	108	95	74	59.28	26	92	3.398	1.765	0.000257244899600382	0.0133127952955042	0.1364	0.1779
FBtr0077008	1615	457	668	3446	1355	1338	946	771	1054	2026	2101	1856	1459	924	1994	2.158	1.109	0.000261614651993984	0.0134611263178284	0.0641	0.0857
FBtr0077920	866	342	401	2084	814	893	507	577	633	1225	1262	1239	907.18	572	1242	2.171	1.118	0.000281890799192968	0.0144215332867123	0.0652	0.0901
FBtr0340190	559	225	448	1641	761	1045	328	380	707	965	1180	1449	834.69	472	1198	2.545	1.348	0.000289437342367455	0.0147234802625899	0.0945	0.0914
FBtr0075558	1307	359	366	4941	776	801	766	606	578	2904	1203	1111	1194.64	650	1739	2.677	1.421	0.000292598776322723	0.014829892450968	0.1056	0.0869
FBtr0073839	174	41	76	587	155	181	102	69	120	345	240	251	187.92	97	279	2.871	1.521	0.000299249863742671	0.0150515956746524	0.115	0.1464
FBtr0336452	8	3	3	28	14	17	5	5	5	16	22	24	12.7	5	21	4.132	2.047	0.000298902632972139	0.0150515956746524	0.1064	0.1485
FBtr0113020	57	20	18	186	66	64	33	34	28	109	102	89	66	32	100	3.132	1.647	0.000309559052218637	0.0154831407514718	0.1221	0.1772
