Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0074842	1462	424	571	729	198	307	857	716	901	429	307	426	605.78	825	387	0.47	-1.089	0.00110645795961164	0.0422435740400981	0.0764	0.0987
FBtr0080261	1773	758	642	233	413	296	1039	1279	1013	137	640	411	753.2	1110	396	0.355	-1.492	0.00114365598306278	0.0434783525110873	0.1434	0.0934
FBtr0085154	1593	50	18	140	7	10	933	84	28	82	11	14	192.21	348	36	0.104	-3.265	0.00117467749667903	0.0443750532817186	0.6063	0.1447
FBtr0079040	31	67	31	30	4	10	18	113	49	18	6	14	36.31	60	13	0.221	-2.179	0.00119124323504539	0.0446242706416795	0.2602	0.1738
FBtr0076792	3175	1057	1165	1369	684	668	1860	1784	1838	805	1061	926	1379.09	1827	931	0.509	-0.975	0.00120402788983635	0.045009025877682	0.0632	0.0859
FBtr0336620	266	68	68	89	20	35	156	115	107	52	31	49	84.97	126	44	0.351	-1.509	0.00122290042755841	0.0456192813663769	0.1359	0.1733
FBtr0309258	225	11	103	44	16	17	132	19	163	26	25	24	64.53	105	25	0.238	-2.074	0.00122743413596026	0.045693213385664	0.2528	0.1774
FBtr0302615	1058	372	311	326	219	155	620	628	491	192	340	215	414.12	580	249	0.428	-1.225	0.0012302745082971	0.0457039322522153	0.0974	0.1118
FBtr0089618	40	10	10	10	4	3	23	17	16	6	6	4	12.06	19	5	0.29	-1.787	0.00123651311741177	0.045745875785899	0.11	0.1479
FBtr0084659	937	316	360	349	167	202	549	533	568	205	259	280	399.12	550	248	0.45	-1.152	0.00131161267267087	0.0478324572644494	0.0869	0.1133
FBtr0087008	2280	834	908	1192	402	579	1336	1408	1433	701	623	803	1050.58	1392	709	0.509	-0.973	0.00133810392305911	0.0485022041423004	0.0639	0.0882
FBtr0337029	317	12	31	40	3	14	186	20	49	24	5	19	50.42	85	16	0.19	-2.396	0.00136237767919953	0.0492822923712055	0.3398	0.1781
FBtr0310438	458	189	199	203	86	91	268	319	314	119	133	126	213.38	300	126	0.421	-1.25	0.00137107210436654	0.0494585523754812	0.1005	0.141
