Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0086102	1	1	0	5	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086107	5753	1857	1830	4313	1907	2215	3371	3134	2888	2535	2957	3072	2992.86	3131	2855	0.909	-0.137	0.426068333073375	0.800711541982772	0.0209	0.0249
FBtr0086108	2543	1016	1050	2081	917	1099	1490	1715	1657	1223	1422	1524	1505.18	1621	1390	0.856	-0.225	0.200116139194129	0.601228785346318	0.0214	0.0265
FBtr0086109	462	174	205	452	192	245	271	294	323	266	298	340	298.51	296	301	1.015	0.021	0.932889822335449	0.986273154873343	0.0422	0.0539
FBtr0086110	41	39	17	169	27	20	24	66	27	99	42	28	47.6	39	56	1.355	0.438	0.438490350367883	0.808777113070386	0.1762	0.098
FBtr0086111	361	51	135	224	124	115	212	86	213	132	192	159	165.68	170	161	0.943	-0.084	0.823447760495518	0.96055852981649	0.0931	0.0727
FBtr0086112	258	112	89	255	88	88	151	189	140	150	136	122	148.17	160	136	0.853	-0.23	0.466997121751847	0.826421271097962	0.0637	0.0767
FBtr0086113	666	278	236	724	246	338	390	469	372	426	381	469	417.94	410	425	1.038	0.054	0.822690242300058	0.96055852981649	0.0383	0.045
FBtr0086114	211	47	66	207	77	74	124	79	104	122	119	103	108.47	102	115	1.121	0.165	0.622820612902841	0.901481359197985	0.0696	0.0867
FBtr0086115	202	25	3	139	40	47	118	42	5	82	62	65	62.37	55	70	1.653	0.725	0.215893466871222	0.623715459470168	0.1995	0.0978
FBtr0086116	15	11	1	38	14	6	9	19	2	22	22	8	13.55	10	17	1.872	0.904	0.0988218707778274	0.416648085271433	0.1232	0.0661
FBtr0086118	23	8	3	8	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086119	462	190	239	636	259	310	271	321	377	374	402	430	362.32	323	402	1.254	0.326	0.179331480428863	0.573172862963306	0.0391	0.0486
FBtr0086120	287	66	59	169	62	68	168	111	93	99	96	94	110.41	124	96	0.79	-0.34	0.318699280711549	0.727708921881851	0.0715	0.0861
FBtr0086121	36	13	9	75	9	9	21	22	14	44	14	12	21.29	19	23	1.184	0.243	0.603345105966717	0.897406373662037	0.0921	0.0814
FBtr0086122	26	4	9	18	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086123	76	24	32	75	31	38	45	41	50	44	48	53	46.73	45	48	1.061	0.085	0.814316212628927	0.959016542050675	0.0693	0.0976
FBtr0086124	238	68	63	570	88	65	139	115	99	335	136	90	152.55	118	187	1.417	0.503	0.165846419915558	0.552389507999996	0.0817	0.075
FBtr0086125	1192	389	419	1148	436	492	698	657	661	675	676	682	674.9	672	678	1.008	0.012	0.95336487271458	0.98887601836694	0.0263	0.0353
