Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0302550	2224	994	1017	1443	532	947	1151	1489	1433	737	731	1175	1119.12	1358	881	0.648	-0.625	-2.853	0.00432504406638306	0.0491444591171028	0.0346	0.0318	0.0336	0.0336	TRUE	NA
FBtr0345107	304	142	185	212	106	117	157	213	261	108	146	145	171.6	210	133	0.639	-0.645	-2.853	0.00432524576594478	0.0491444591171028	0.0031	0.0639	0.0306	0.0306	TRUE	NA
FBtr0334327	374	108	91	124	64	84	194	162	128	63	88	104	123.15	161	85	0.518	-0.949	-2.853	0.0043315014276387	0.0491839484957357	0.0619	0.0788	0.0702	0.0702	TRUE	NA
FBtr0083221	920	331	381	658	230	320	476	496	537	336	316	397	426.24	503	350	0.696	-0.523	-2.853	0.00433701852104902	0.0491992920437804	0.005	0.0412	0.0216	0.0216	TRUE	NA
FBtr0089922	1026	727	742	927	477	446	531	1089	1045	473	655	553	724.47	888	560	0.66	-0.6	-2.852	0.00433841476390805	0.0491992920437804	0.0265	0.0349	0.0304	0.0304	TRUE	NA
FBtr0070381	1257	637	764	949	517	634	651	954	1076	485	710	787	776.99	894	661	0.74	-0.435	-2.852	0.00434330843640925	0.049223234816474	0.0025	0.0343	0.0154	0.0154	TRUE	NA
FBtr0300499	457	55	48	157	24	45	237	82	68	80	33	56	92.58	129	56	0.48	-1.058	-2.852	0.00434828107323584	0.0492480412718408	0.0667	0.0963	0.0823	0.0823	TRUE	NA
FBtr0079653	1866	402	369	1436	249	332	966	602	520	733	342	412	595.79	696	496	0.702	-0.51	-2.851	0.00435497934643707	0.0492923478041063	0.0077	0.0369	0.0209	0.0209	TRUE	NA
FBtr0472695	1866	461	530	1904	233	212	966	691	747	972	320	263	659.67	801	518	0.551	-0.859	-2.847	0.00441026716458074	0.0498225008994878	0.0947	0.0358	0.0634	0.0634	TRUE	NA
FBtr0076775	377	104	93	159	79	61	195	156	131	81	108	76	124.54	161	88	0.549	-0.865	-2.847	0.00441441949339342	0.0498375847208826	0.0363	0.0782	0.0572	0.0572	TRUE	NA
FBtr0080187	3998	715	907	3225	617	657	2069	1071	1278	1647	847	815	1287.8	1473	1103	0.737	-0.44	-2.846	0.00442251439449132	0.049897131475093	0.0059	0.031	0.0162	0.0162	TRUE	NA
