Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0023129	742	270	323	546	215	234	425	474	519	319	340	325	400.45	473	328	0.701	-0.513	1.4833691550095e-06	1.94665500950207e-05	0.0052	0.0065
FBgn0036155	186	75	75	89	45	57	107	132	121	52	71	79	93.53	120	67	0.55	-0.863	1.60353245994671e-06	2.10098614001325e-05	0.0105	0.0157
FBgn0033033	4264	1345	1291	3053	1085	1249	2442	2362	2075	1785	1717	1734	2019.24	2293	1745	0.761	-0.394	1.67640027436401e-06	2.18946417998943e-05	0.0043	0.0049
FBgn0038088	526	178	194	372	116	146	301	313	312	218	184	203	254.91	309	202	0.661	-0.597	1.68548312914427e-06	2.19782712642946e-05	0.0065	0.0084
FBgn0005593	67474	25884	34498	40708	20186	24115	38647	45453	55459	23802	31948	33471	38130.12	46520	29740	0.637	-0.65	1.82858996839586e-06	2.3768771665266e-05	0.0132	0.0151
FBgn0034290	31	16	20	5	6	9	18	28	32	3	9	12	17.15	26	8	0.285	-1.811	1.85980269338212e-06	2.41362368530382e-05	0.0218	0.0274
FBgn0035903	272	86	89	164	54	62	156	151	143	96	85	86	119.55	150	89	0.599	-0.74	1.90044196583848e-06	2.45858438545855e-05	0.0076	0.0135
FBgn0004198	10115	3436	3024	6734	2653	2866	5794	6034	4861	3937	4199	3978	4800.48	5563	4038	0.726	-0.463	1.95135523816344e-06	2.52047490762465e-05	0.0065	0.0058
FBgn0035001	19273	6351	6297	13283	5171	5500	11039	11153	10123	7766	8184	7634	9316.53	10772	7861	0.73	-0.454	2.157174036584e-06	2.77757322575541e-05	0.0065	0.0078
FBgn0010549	865	296	332	647	234	264	495	520	534	378	370	366	444.01	516	371	0.725	-0.464	2.17448166365052e-06	2.7954700008247e-05	0.0042	0.0062
FBgn0039026	6797	2440	2159	4619	1886	2116	3893	4285	3471	2701	2985	2937	3378.55	3883	2874	0.739	-0.436	2.35293873119939e-06	3.01543804270272e-05	0.0058	0.0052
FBgn0003997	402	109	95	242	50	79	230	191	153	141	79	110	150.78	191	110	0.58	-0.786	2.52988596326765e-06	3.22708004210284e-05	0.0117	0.0115
FBgn0025383	139	81	91	82	41	61	80	142	146	48	65	85	94.27	123	66	0.552	-0.858	2.60112311011706e-06	3.307660736307e-05	0.011	0.016
FBgn0031126	925	296	283	656	212	255	530	520	455	384	336	354	429.6	502	358	0.715	-0.484	2.59982635841143e-06	3.307660736307e-05	0.0048	0.0063
FBgn0036454	1772	691	615	1251	499	604	1015	1213	989	731	790	838	929.43	1072	786	0.733	-0.448	2.67923739755598e-06	3.40171906110746e-05	0.0052	0.0051
FBgn0029114	3069	1027	945	2360	777	860	1758	1803	1519	1380	1230	1194	1480.63	1693	1268	0.749	-0.416	2.71856467813504e-06	3.44099806945426e-05	0.0048	0.0049
FBgn0004865	169	56	54	95	29	33	97	98	87	56	46	46	71.53	94	49	0.533	-0.908	2.7473159972478e-06	3.45605610574026e-05	0.0106	0.0174
FBgn0031012	2099	721	811	1463	612	753	1202	1266	1304	855	969	1045	1106.88	1257	956	0.756	-0.403	2.74354195594613e-06	3.45605610574026e-05	0.0042	0.005
