Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0332911	76	30	53	362	179	182	39	45	75	185	246	226	135.89	53	219	4.193	2.068	7.08	1.44238309256832e-12	1.35729783460777e-10	0.0131	0.0739	0.049	0.049	TRUE	NA
FBtr0304990	128	30	14	762	108	127	66	45	20	389	148	158	137.65	44	232	5.175	2.372	7.074	1.51064785226532e-12	1.41401434679501e-10	0.0378	0.0733	0.0626	0.0626	TRUE	NA
FBtr0302833	567	210	177	1275	557	591	293	315	249	651	765	733	501.08	286	716	2.494	1.318	7.071	1.5422530490794e-12	1.4331887347931e-10	0.0079	0.0389	0.0224	0.0224	TRUE	NA
FBtr0304005	290	48	51	840	196	171	150	72	72	429	269	212	200.67	98	303	3.144	1.653	6.925	4.3708566037628e-12	3.92511797853643e-10	0.0098	0.0584	0.0325	0.0325	TRUE	NA
FBtr0089716	480	209	170	1139	606	571	248	313	239	582	832	708	487.18	267	707	2.624	1.392	6.901	5.15850326215569e-12	4.58588347792947e-10	0.0151	0.0393	0.0266	0.0266	TRUE	NA
FBtr0076453	609	183	208	1523	430	594	315	274	293	778	590	737	497.9	294	702	2.386	1.254	6.886	5.73562153098127e-12	5.07344402522948e-10	0.0083	0.039	0.0212	0.0212	TRUE	NA
FBtr0299920	112	19	24	453	96	156	58	28	34	231	132	194	112.82	40	186	4.691	2.23	6.873	6.2669209592492e-12	5.5158258054765e-10	0.0322	0.0837	0.0579	0.0579	TRUE	NA
FBtr0076496	423	153	205	1095	435	596	219	229	289	559	597	739	438.79	246	632	2.571	1.362	6.842	7.83370005510328e-12	6.82689594457301e-10	0.0123	0.0408	0.0255	0.0255	TRUE	NA
FBtr0088663	20102	6412	6907	37030	21575	20189	10403	9605	9729	18909	29626	25047	17219.88	9912	24527	2.441	1.288	6.74	1.57902227407506e-11	1.31766429484254e-09	0.0261	0.0263	0.0262	0.0262	TRUE	NA
FBtr0335475	860	133	63	3438	406	453	445	199	89	1756	558	562	601.36	244	959	3.912	1.968	6.736	1.62872798530305e-11	1.35276182103269e-09	0.0869	0.0368	0.0572	0.0572	TRUE	NA
FBtr0330145	382	160	167	818	673	829	198	240	235	418	924	1028	507.15	224	790	3.28	1.714	6.732	1.67759272937285e-11	1.38683612034276e-09	0.0486	0.0388	0.0437	0.0437	TRUE	NA
FBtr0305679	536	170	220	1168	487	521	277	255	310	596	669	646	458.91	281	637	2.263	1.178	6.713	1.91258103931218e-11	1.56645699844777e-09	0.001	0.0401	0.0194	0.0194	TRUE	NA
