Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0088549	2270	208	201	230	91	85	1175	312	283	117	125	105	352.89	590	116	0.196	-2.35	-4.027	5.65604051559651e-05	0.00234975212596473	0.3216	0.1016	0.24	0.24	TRUE	9.0236
FBtr0303150	641	211	234	377	125	169	332	316	330	193	172	210	258.54	326	192	0.587	-0.768	-4.013	6.00093821852566e-05	0.00248260571697374	0	0.1063	0.022	0.022	TRUE	0.0749
FBtr0345142	7839	1845	1901	3318	892	768	4057	2764	2678	1694	1225	953	2228.37	3166	1291	0.408	-1.294	-4.011	6.04497899619236e-05	0.00249560458558881	0.0712	0.0907	0.0744	0.0744	TRUE	0.9118
FBtr0076218	295	83	120	113	45	20	153	124	169	58	62	25	98.39	149	48	0.325	-1.62	-4.006	6.17746597850439e-05	0.00253442717271627	0.0852	0.135	0.1035	0.1035	TRUE	1.1539
FBtr0085382	56	23	17	15	5	4	29	34	24	8	7	5	17.81	29	7	0.23	-2.122	-3.999	6.36823303619667e-05	0.00259837231292171	0	0.3446	0.1132	0.1132	TRUE	0.0865
FBtr0336904	406	91	125	156	25	27	210	136	176	80	34	33	111.66	174	49	0.288	-1.797	-3.998	6.38588593719318e-05	0.00259837231292171	0.1335	0.1295	0.1322	0.1322	TRUE	0.776
FBtr0305667	535	211	211	310	116	152	277	316	297	158	159	189	232.72	297	169	0.569	-0.814	-3.997	6.40775838151149e-05	0.00260191831610656	0.003	0.1083	0.025	0.025	TRUE	0.1059
FBtr0113291	105	43	49	49	14	21	54	64	69	25	19	26	43.01	62	23	0.382	-1.389	-3.987	6.69888044726132e-05	0.00270900533424525	0	0.1947	0.0581	0.0581	TRUE	0.1571
FBtr0089583	4338	2283	2450	2994	528	525	2245	3420	3451	1529	725	651	2003.51	3039	968	0.319	-1.648	-3.984	6.76749248356001e-05	0.00272560415198369	0.1509	0.091	0.1225	0.1225	TRUE	3.1053
FBtr0302615	1058	372	311	326	219	155	548	557	438	166	301	192	367.06	514	220	0.425	-1.234	-3.978	6.95999012370022e-05	0.0027861094068051	0.0522	0.1011	0.0659	0.0659	TRUE	1.0897
FBtr0310035	137	46	33	38	17	20	71	69	46	19	23	25	42.31	62	22	0.355	-1.496	-3.96	7.5039768700194e-05	0.00297974181937015	0	0.1964	0.0719	0.0719	TRUE	0.3571
FBtr0087308	425	120	142	173	86	58	220	180	200	88	118	72	146.35	200	93	0.461	-1.118	-3.957	7.58106980462094e-05	0.00300432175123004	0.0199	0.1198	0.0492	0.0492	TRUE	0.4673
FBtr0301414	1251	449	513	689	321	341	647	673	723	352	441	423	543.05	681	405	0.594	-0.752	-3.954	7.68651079631578e-05	0.00303394712569151	0.0071	0.0971	0.024	0.024	TRUE	0.1667
FBtr0070777	47920	16572	18424	24393	10861	13792	24799	24824	25952	12456	14914	17111	20009.35	25192	14827	0.589	-0.765	-3.953	7.71936532722166e-05	0.00304084560449817	0.0126	0.0889	0.0269	0.0269	TRUE	0.2399
FBtr0089517	1075	417	476	746	246	314	556	625	670	381	338	390	493.29	617	370	0.601	-0.736	-3.949	7.84931364923587e-05	0.00308588821895903	0.0056	0.0979	0.0227	0.0227	TRUE	0.0934
FBtr0300039	1500	740	694	771	246	450	776	1108	978	394	338	558	692.02	954	430	0.451	-1.149	-3.935	8.30758379212379e-05	0.00325957280732635	0.0484	0.0953	0.0597	0.0597	TRUE	0.4438
FBtr0310660	187	73	153	17	18	35	97	109	216	9	25	43	83.08	141	26	0.179	-2.485	-3.934	8.36422491518981e-05	0.00326601887938794	0.3365	0.1436	0.2631	0.2631	TRUE	2.1895
FBtr0290025	385	94	133	174	64	70	199	141	187	89	88	87	131.83	176	88	0.497	-1.008	-3.926	8.62964132250336e-05	0.00335927474709653	0.0115	0.1233	0.0386	0.0386	TRUE	0.2928
FBtr0290046	554	207	216	373	114	114	287	310	304	190	157	141	231.58	300	163	0.547	-0.871	-3.921	8.80484333408674e-05	0.00342074217940207	0.0085	0.1084	0.0306	0.0306	TRUE	0.2709
FBtr0075039	101	46	25	32	9	14	52	69	35	16	12	17	33.74	52	15	0.298	-1.748	-3.918	8.92740857565608e-05	0.0034615589134039	0.0388	0.2238	0.1012	0.1012	TRUE	0.0728
FBtr0332046	1632	580	548	452	263	376	845	869	772	231	361	466	590.62	829	353	0.424	-1.236	-3.914	9.08276445348453e-05	0.00351490542206764	0.0595	0.0964	0.0698	0.0698	TRUE	0.714
FBtr0088957	2470	884	985	1612	664	737	1278	1324	1387	823	912	914	1106.53	1330	883	0.664	-0.592	-3.913	9.10909965584965e-05	0.00351821182996927	0.0021	0.0928	0.0155	0.0155	TRUE	0.0443
FBtr0305056	4490	1177	1290	2368	633	832	2324	1763	1817	1209	869	1032	1502.41	1968	1037	0.527	-0.924	-3.904	9.4658317021721e-05	0.00363469557107676	0.0247	0.0917	0.0396	0.0396	TRUE	0.3063
FBtr0071048	1054	346	294	590	191	214	545	518	414	301	262	265	384.49	492	276	0.561	-0.833	-3.889	0.000100635195910455	0.00384924758052078	0.0115	0.1005	0.0301	0.0301	TRUE	0.2191
FBtr0077706	227	88	58	98	22	36	117	132	82	50	30	45	75.98	110	42	0.382	-1.386	-3.871	0.000108351842723281	0.00413640480666579	0.0415	0.1487	0.0755	0.0755	TRUE	0.3322
FBtr0088261	66	8	18	7	0	1	34	12	25	4	0	1	12.72	24	2	0.081	-3.623	-3.853	0.000116482024621311	0.004404267756953	0.2987	0.4472	0.3726	0.3726	TRUE	0.4347
FBtr0075806	100	30	32	29	16	11	52	45	45	15	22	14	32.03	47	17	0.346	-1.53	-3.848	0.000119277433358903	0.00449278332318535	0	0.231	0.073	0.073	TRUE	0.245
FBtr0089649	568	108	81	136	30	19	294	162	114	69	41	24	117.34	190	45	0.238	-2.072	-3.844	0.0001208671550842	0.00453538518366234	0.2262	0.1275	0.195	0.195	TRUE	0.3465
FBtr0073393	53	16	22	9	5	7	27	24	31	5	7	9	17.09	27	7	0.232	-2.109	-3.843	0.000121573556977519	0.00455325206293644	0	0.3555	0.1225	0.1225	TRUE	0.4715
FBtr0073269	6532	1621	1471	2434	291	365	3380	2428	2072	1243	400	453	1662.66	2627	699	0.266	-1.909	-3.835	0.000125663912679816	0.00468868655328938	0.2257	0.0914	0.1776	0.1776	TRUE	2.4335
FBtr0085146	693	75	228	78	40	76	359	112	321	40	55	94	163.53	264	63	0.237	-2.079	-3.831	0.000127634992988706	0.00475326174454175	0.2499	0.1166	0.2019	0.2019	TRUE	1.1487
FBtr0343424	515	149	145	257	56	60	267	223	204	131	77	74	162.76	231	94	0.412	-1.281	-3.83	0.000128344519627732	0.00477070089405715	0.0564	0.1167	0.0728	0.0728	TRUE	1.3314
FBtr0082025	3255	1078	1581	1857	686	919	1685	1615	2227	948	942	1140	1426.11	1842	1010	0.548	-0.867	-3.829	0.000128839927212739	0.0047801305077522	0.0216	0.0919	0.0361	0.0361	TRUE	0.3999
FBtr0084958	109	37	34	45	15	12	56	55	48	23	21	15	36.36	53	20	0.372	-1.426	-3.804	0.000142495308628696	0.00522791229709178	0	0.214	0.0666	0.0666	TRUE	0.2264
FBtr0336477	316	136	147	216	59	75	164	204	207	110	81	93	143.11	192	95	0.503	-0.993	-3.797	0.000146527269827091	0.00535596443776473	0.0156	0.1205	0.041	0.041	TRUE	0.2402
FBtr0080589	26	10	16	4	1	2	13	15	23	2	1	2	9.48	17	2	0.119	-3.071	-3.79	0.000150935529369552	0.00546657526242289	0	0.5697	0.2093	0.2093	TRUE	0.3163
FBtr0080439	1724	626	683	1200	431	377	892	938	962	613	592	468	744.05	931	558	0.6	-0.737	-3.779	0.000157755199899913	0.00569271729565835	0.0085	0.0948	0.0259	0.0259	TRUE	0.2274
FBtr0335013	437	209	190	232	91	130	226	313	268	118	125	161	201.93	269	135	0.502	-0.995	-3.774	0.000160403943157981	0.00577775587604566	0.0223	0.1113	0.0442	0.0442	TRUE	0.1567
FBtr0339234	800	357	250	484	107	121	414	535	352	247	147	150	307.52	434	181	0.421	-1.247	-3.771	0.000162831701010658	0.00585453979542866	0.0631	0.1035	0.0747	0.0747	TRUE	0.6138
FBtr0347364	122	65	76	75	24	20	63	97	107	38	33	25	60.6	89	32	0.368	-1.443	-3.763	0.000167641126000431	0.00600459734350679	0.0517	0.1639	0.0841	0.0841	TRUE	0.7677
FBtr0301403	3714	1453	1744	1169	805	917	1922	2177	2457	597	1105	1138	1565.86	2185	947	0.433	-1.208	-3.757	0.000172005690264152	0.00613973379959133	0.0668	0.0916	0.0737	0.0737	TRUE	0.9616
FBtr0082039	75	122	191	10	23	18	39	183	269	5	32	22	91.6	164	20	0.118	-3.082	-3.751	0.000175932943835394	0.00625732727400165	0.6651	0.1384	0.4564	0.4564	TRUE	0.1238
FBtr0083252	601	130	107	173	64	40	311	195	151	88	88	50	147.05	219	75	0.344	-1.541	-3.748	0.000178409836445527	0.00632267834356685	0.1088	0.1197	0.1125	0.1125	TRUE	0.3789
FBtr0330249	2141	790	746	1026	491	589	1108	1183	1051	524	674	731	878.51	1114	643	0.576	-0.796	-3.736	0.000187004356480368	0.00660359133821299	0.0153	0.0939	0.0314	0.0314	TRUE	0.3249
FBtr0088522	516	100	141	137	79	53	267	150	199	70	108	66	143.27	205	81	0.392	-1.35	-3.733	0.000189408854156857	0.00667657770223144	0.0702	0.1205	0.0852	0.0852	TRUE	0.1623
FBtr0308628	204	107	76	74	41	47	106	160	107	38	56	58	87.55	124	51	0.405	-1.305	-3.727	0.000193457509553795	0.00678301817628774	0.0467	0.1407	0.0737	0.0737	TRUE	0.5884
FBtr0079085	85	58	48	47	16	15	44	87	68	24	22	19	43.84	66	22	0.333	-1.585	-3.727	0.000193915850020998	0.00678705475073493	0.0613	0.1927	0.0989	0.0989	TRUE	0.1239
FBtr0330725	1319	331	348	607	121	113	683	496	490	310	166	140	380.82	556	205	0.371	-1.43	-3.723	0.000197137602755675	0.0068876256086457	0.1036	0.1006	0.1028	0.1028	TRUE	2.3141
FBtr0076362	4282	1578	1627	3258	1172	1314	2216	2364	2292	1664	1609	1630	1962.46	2291	1634	0.714	-0.486	-3.721	0.000198202393511978	0.00691261434162145	0	0.091	0.0117	0.0117	TRUE	0.0101
FBtr0345114	1562	383	336	632	220	225	808	574	473	323	302	279	459.89	618	301	0.486	-1.04	-3.709	0.000208139379487619	0.00722097584099589	0.0376	0.0986	0.054	0.054	TRUE	0.3734
FBtr0075927	1237	524	463	453	306	262	640	785	652	231	420	325	508.97	692	325	0.468	-1.094	-3.7	0.000215198361171054	0.00741384597936864	0.0454	0.0976	0.0606	0.0606	TRUE	0.4712
FBtr0072828	4021	1289	1393	2538	929	1180	2081	1931	1962	1296	1276	1464	1668.26	1991	1345	0.675	-0.567	-3.691	0.000223327318666833	0.00766718355318856	0.0028	0.0914	0.0163	0.0163	TRUE	0.0707
FBtr0087234	2455	905	980	1573	676	745	1271	1356	1380	803	928	924	1110.39	1336	885	0.662	-0.595	-3.687	0.000226520478896171	0.00773651549252468	0.0037	0.0928	0.0177	0.0177	TRUE	0.0821
FBtr0081553	383	135	149	249	88	90	198	202	210	127	121	112	161.66	203	120	0.592	-0.755	-3.685	0.000228736174360175	0.00779872042753873	0	0.1169	0.0234	0.0234	TRUE	0.0359
FBtr0071758	955	300	387	631	212	255	494	449	545	322	291	316	403.07	496	310	0.625	-0.677	-3.673	0.000239913559014271	0.00816573258090742	0.0028	0.1	0.0217	0.0217	TRUE	0.0808
FBtr0084137	4442	1383	1628	2928	965	1268	2299	2072	2293	1495	1325	1573	1842.84	2221	1464	0.659	-0.601	-3.668	0.000244187955701181	0.00828270467236853	0.0046	0.0911	0.0187	0.0187	TRUE	0.0815
FBtr0344703	1224	533	466	703	81	159	633	798	656	359	111	197	459.29	696	222	0.321	-1.637	-3.667	0.000245239437973553	0.0083041265169983	0.1636	0.0986	0.1405	0.1405	TRUE	1.9783
