"ID","control_rep1","control_rep2","control_rep3","exper_rep1","exper_rep2","exper_rep3","padj","log2FoldChange","pvalue","foldChange","log10padj"
"Nav2",819.15614656032,685.441931158565,528.351190147796,306.717717135572,284.64268491699,322.053999463193,1.36440463846158e-11,-1.15423214660091,2.27903501388817e-13,0.44930525898751,10.8650568128246
"Rapgef5",29.8962097284788,37.6943464312959,27.9128930644119,16.0375276933632,12.9837014172662,14.956068086526,0.0137250430292806,-1.11901063897559,0.00451198893455403,0.46040945335761,1.86248628532233
"Eif2c2",170.408395452329,178.552167306138,108.660905143603,42.0985101950785,41.9473430403986,67.8008419922511,5.93508939660322e-09,-1.59139566701815,2.3326315486527e-10,0.331850265361059,8.22657273514931
"Ndst1",1819.68263214008,1814.28841112737,1710.66158923324,840.967858420735,635.202623183179,930.267434981915,1.97335044328575e-15,-1.15118932622877,1.08997953935426e-17,0.450253898803624,14.7047957824263
"AK142627",18.9342661613699,23.8069556408184,11.9626684561765,5.01172740417601,5.9924775771998,7.97656964614719,0.0180266516736169,-1.52700895029634,0.0062376672375915,0.346996027028051,1.74408493299548
"Akap17b",54.8097178355445,47.6139112816369,47.850673824706,24.0562915400449,18.976178994466,27.9179937615151,0.00275996189416335,-1.08262402848507,0.000683606380892831,0.472169242545323,2.55909691404668
"Cdon",29.8962097284788,24.7989121258526,18.9408917222795,9.02110932751682,10.986208891533,11.9648544692208,0.0225989301895262,-1.20342169655595,0.00814175819486739,0.434244145423861,1.64591211942704
"Trim2",344.802952201789,311.474336300708,273.14759641603,130.304912508576,113.857073966796,162.522606540249,1.79824192314173e-10,-1.19236125898753,4.50554350676631e-12,0.437586077101529,9.74515188166967
"Sik2",126.560621183894,135.898038449672,84.7355682312503,46.1078921184193,36.9536117260654,51.8477026999567,7.72269523039808e-07,-1.36381541569454,5.99452638861654e-08,0.388553344316318,6.11223110388597
"Sesn3",62.7820404298055,45.6299983115687,44.8600067106619,23.0539460592097,15.9799402058661,24.92678014421,0.000757278127493595,-1.26077654892763,0.000153278599129138,0.417319271851136,3.12074458674599
"Akap9",573.010686462511,571.366935379643,477.509849209046,321.7528993481,223.719162882126,229.326377326732,5.22243363467332e-10,-1.06590282287941,1.51374887961545e-11,0.477673642271333,9.28212707021377
"Pcgf3",228.207734260722,251.956947198662,199.377807602942,113.265039334378,88.8884173951303,127.625114338355,2.18769697240311e-07,-1.04309335134909,1.44019353624179e-08,0.485285832854821,6.66001283422492
"Usp49",52.8166371869792,40.6702158863982,48.8475628627208,17.0398731741984,14.9811939429995,29.9121361730519,0.00230921413999489,-1.20009146046908,0.000556079487900186,0.435247687999763,2.63653579185288
"Vcpip1",338.823710256093,355.120421642209,275.14137449206,156.365895010292,107.864596389596,168.505033774859,3.26174767825244e-09,-1.16317627609221,1.17244512466456e-10,0.446528363651585,8.4865496380784
"Birc6",1095.19781638661,1116.9430021484,923.119249201621,513.200886187623,423.468415455452,500.529745295736,3.83330935430564e-16,-1.12535472201876,1.75767889823234e-18,0.458389301474296,15.4164261310596
"Ntrk2",118.588298589633,67.4530409823189,41.8693395966178,17.0398731741984,12.9837014172662,19.941424115368,1.09636052678243e-07,-2.18939310003148,6.4544601552163e-09,0.219243640374494,6.96004660913142
"Ipo7",678.643960836469,737.023668380338,580.189420124561,328.769317713946,243.694088139458,415.778692805422,4.00423946303115e-08,-1.01406085890724,2.05572598323142e-09,0.495150548006119,7.3974799585745
"Adam11",220.235411666461,192.439558096616,197.384029526912,50.1172740417601,27.9648953602657,54.8389163172619,2.54591335034803e-20,-2.19837563397337,4.79456374830137e-23,0.217882822428467,19.5941563815567
"Dsg1c",60.7889597812403,59.5173891020461,58.8164532428679,20.046909616704,11.9849551543996,25.9238513499784,6.1762644094573e-06,-1.62781102827584,6.37197507239515e-07,0.323578794883918,5.20927411987597
"Alkbh8",44.8443145927182,47.6139112816369,29.9066711404413,14.0328367316928,17.9774327315994,23.9297089384416,0.00705828932568259,-1.12904611706903,0.00205656057524822,0.457217929126264,2.15130054348638
"Xpnpep3",127.557161508176,126.970430084365,98.6920147634562,57.1336924076065,32.9586266745989,60.8213435518723,6.69484206339771e-06,-1.22691237883566,7.00565639648103e-07,0.427230817248474,5.17425966388034
"Hivep2",126.560621183894,141.849777359877,131.589353017942,70.1641836584642,53.9322981947982,64.8096283749459,2.65817765566941e-06,-1.08244515950167,2.41593154654306e-07,0.472227786912491,5.57541599694536
"9930111J21Rik1",46.8373952412835,42.6541288564664,21.9315588363236,14.0328367316928,9.98746262866633,6.97949844037879,0.000170737189437048,-1.84629429887016,2.75684711020927e-05,0.278105792882351,3.7676718719247
"Cpeb4",307.930960203332,291.635206600026,193.396473374854,66.1548017351233,45.9423280918651,100.704191782608,3.37336999470023e-13,-1.89763503984076,3.45862232192153e-15,0.268382956144671,12.4719360223316
"Cog5",100.650572752545,118.042821719058,88.7231243833091,35.0820918292321,37.9523579889321,52.8447739057251,2.9276328843484e-06,-1.2880215796026,2.69918498958184e-07,0.409512223465499,5.53348338331641
"AK011498",17.9377258370873,21.8230426707502,16.9471136462501,7.01641836584642,0.998746262866633,1.9941424115368,0.000513648355253572,-2.50380226491905,9.76575354866777e-05,0.176311408560537,3.28933409819608
"Fam59a",382.671484524529,335.281291941526,312.026268898604,184.431568473677,111.859581441063,146.569467247955,3.23765062080675e-10,-1.21780517339092,8.90910339625285e-12,0.42993629931035,9.4897700183505
"Kalrn",370.713000633137,396.782594013641,426.668508270296,165.387004337808,179.774327315994,238.300018178647,2.52143337065361e-09,-1.03317288951393,8.85691407525095e-11,0.488634322795682,8.59835250366578
"Aak1",255.114323016353,271.796076899344,230.281367781398,132.309603470247,117.852059018263,122.639758309513,1.1294138699506e-08,-1.02233905819654,4.85500926655255e-10,0.492317504752886,7.94714688314242
"Ildr2",916.817098340017,1108.01539378309,897.200134213238,323.75759030977,307.613848962923,358.945634076623,1.0272674244912e-28,-1.56101487547079,5.04675718246719e-32,0.338912587191362,27.9883164835086
"Mgam",1396.15299431996,1436.35299032938,1187.29484427552,584.367415326923,452.432057078585,554.371590407229,1.37815995599805e-21,-1.33706732283608,1.80549900073437e-24,0.395824461501026,20.8607003731572
"Mll1",407.584992631595,405.710202378948,287.104042948236,188.440950397018,163.794387110128,170.499176186396,3.92384419225954e-09,-1.07395840355611,1.44256615272622e-10,0.475013887057857,8.4062882458857
"Mfsd4",123.571000211046,142.841733844911,109.657794181618,45.1055466375841,30.9611341488656,54.8389163172619,9.59276519543794e-09,-1.52248245246248,4.00582186987092e-10,0.348086446916684,8.01805618573681
"Gbp6",407.584992631595,577.318674289847,314.020046974633,170.398731741984,226.715401670726,251.261943853636,5.48117777254561e-06,-1.00240218960796,5.56098011612984e-07,0.499168157253821,5.26112611210704
"Nrip1",88.6920888611538,76.3806493476259,76.7604559271326,39.0914737525729,21.9724177830659,43.8711330538095,0.000102520744985407,-1.20448712969846,1.53643023528726e-05,0.433923573649195,3.98918824659747
"Zfp398",40.8581532955877,34.7184769761936,38.8786724825737,20.046909616704,10.986208891533,11.9648544692208,0.00111160864731854,-1.41282298460962,0.000238468407105099,0.375576061234184,2.95404808345987
"Ar",38.8650726470225,39.6782594013641,23.925336912353,5.01172740417601,3.99498505146653,10.9677832634524,8.48066916393518e-06,-2.35845174346098,9.13826301460631e-07,0.195000301070818,5.07156987855239
"Ern1",326.865226364702,367.023899462618,306.044934670516,111.260348372707,83.8946860807972,145.572396042186,8.98175729303284e-15,-1.55316329762594,5.80986511217223e-17,0.340762079020207,14.0466386847131
"Alg10b",247.142000422092,252.948903683696,240.250258161545,104.243930006861,61.9222682977313,95.7188357537662,4.20221295656693e-13,-1.49936575823896,4.50740929591638e-15,0.353708854926407,12.3765219425254
"Ank2",28.8996694041962,30.7506510360572,31.9004492164707,12.0281457700224,10.986208891533,13.9589968807576,0.00505690121110559,-1.30800682634064,0.0013978628091945,0.403878477785143,2.29611553042733
"Palld",380.678403875964,384.879116193232,306.044934670516,135.316639912752,96.8783874980634,171.496247392164,4.9315200805652e-12,-1.40841194145538,7.10675128289098e-14,0.376726143132744,11.3070191941411
"Itpr2",302.948258581919,335.281291941526,261.184927959854,145.340094721104,98.8758800237967,134.604612778734,9.86925428716695e-11,-1.24758371422728,2.23842089375685e-12,0.421152981833257,10.0057156610288
"Ddi2",2022.97685829373,2079.14079263148,1475.39577626177,908.125005636693,595.252772668513,845.516382491602,9.95283962978529e-13,-1.24766350756314,1.20610846246477e-14,0.421129689126853,12.002052993666
"AK016283",99.6540324282627,104.155430928581,43.8631176726472,30.0703644250561,26.9661490973991,20.9384953211364,5.00383468591302e-06,-1.66764846629197,4.973925578235e-07,0.31476598135926,5.30069704673675
"Abca8b",557.066041273989,550.535849193927,499.441408045369,228.534769630426,181.771819841727,258.241442294015,2.88804804229314e-15,-1.26529285604612,1.67896021454854e-17,0.416014910942687,14.5393955866117
"Aox3",6579.15922091391,6978.41387221491,6658.22188490024,3028.08569760315,2460.91079170338,2883.52992708221,3.67004303208898e-29,-1.27175475807172,1.20201196498452e-32,0.41415572649858,28.4353288435165
"Pttg1",210.270008423634,259.892599078935,206.356030869045,57.1336924076065,42.9460893032652,66.8037707864827,6.39182341926471e-20,-2.01929709502273,1.30840567822499e-22,0.246678332629147,19.1943752313627
"A630007B06Rik",55.8062581598271,53.5656501918415,33.8942272925001,19.0445641358688,13.9824476801329,11.9648544692208,4.58278332063277e-05,-1.67138633023231,6.18392443494866e-06,0.313951512927144,4.33887067622197
"Yod1",109.619435671089,136.889994934706,124.611129751839,61.1430743309473,41.9473430403986,54.8389163172619,7.28033591846284e-07,-1.23277690793125,5.59750710508197e-08,0.425497656768062,6.13784858165275
"Map3k13",147.487967993829,150.777385725184,106.667127067574,50.1172740417601,33.9573729374655,66.8037707864827,1.68685682487855e-07,-1.42424542973259,1.0745718576562e-08,0.372614202579223,6.77292177740136
